id,name,latitude,longitude,distance_km,duration_min,type,address
201,"Sole Restaurant, Lee Point Road, Lee Point, City of Darwin, Northern Territory, 0811, Australia",-12.3409816,130.8931366,18.45,21.21,restaurant,Lee Point Road
202,"Fannie Bay Super Pizza Italian Restaurant, Ross Smith Avenue, Fannie Bay, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4240555,130.8365323,5.75,8.39,restaurant,Ross Smith Avenue
203,"Asian Gateway Restaurant, 58, Aralia Street, Nightcliff, Darwin, City of Darwin, Northern Territory, 0810, Australia",-12.3795265,130.8489492,11.83,15.5,restaurant,Aralia Street
204,"Char Restaurant, Esplanade, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4649173,130.8400948,0.98,2.01,restaurant,Esplanade
205,"Crab Claw Island Restaurant, Crab Claw Island Boat Ramp, Bynoe, Crab Claw Island, Northern Territory, Australia",-12.7060747,130.6223951,112.75,134.65,restaurant,Crab Claw Island Boat Ramp
206,"Yogis Way, Coronation Drive, Stuart Park, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.445271,130.8425692,3.02,4.88,restaurant,Coronation Drive
207,"Yots Greek Taverna, Marina Boulevard, Larrakeyah, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4509394,130.8223537,3.35,6.52,restaurant,Marina Boulevard
208,"Il Lido, Anchorage Court, Darwin City, Darwin Waterfront Precinct Municipality, Northern Territory, 0801, Australia",-12.4687852,130.8471832,1.09,3.05,restaurant,Anchorage Court
209,"Wharf Precinct Food Court, Stokes Hill Wharf, Darwin City, Darwin Waterfront Precinct Municipality, Northern Territory, 0801, Australia",-12.4707358,130.848332,1.82,5.24,restaurant,Stokes Hill Wharf
210,"Hot Tamale, Anchorage Court, Darwin City, Darwin Waterfront Precinct Municipality, Northern Territory, 0801, Australia",-12.46862,130.8467776,1.04,2.93,restaurant,Anchorage Court
211,"CHOW!, Kitchener Drive, Darwin City, Darwin Waterfront Precinct Municipality, Northern Territory, 0801, Australia",-12.4673061,130.8457022,1.0,2.48,restaurant,Kitchener Drive
212,"Flavour E Azam, Smith Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4629791,130.8413479,0.85,1.89,restaurant,Smith Street
